date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:19	302985/302985	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2015:58:00%20GMT	https://www.android.com/intl/da_dk/enterprise/devices/	Android/Android/www.android.com/intl/da_dk/enterprise/devices/index.html	(from https://www.android.com/intl/da_dk/)
17:53:19	2649/2649	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:53:20%20GMT	https://www.android.com/intl/en_ca/=w32	Android/Android/www.android.com/intl/en_ca/=w32.34.delayed	(from https://www.android.com/intl/en_ca/)
17:53:20	330004/330004	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2015:58:00%20GMT	https://www.android.com/intl/da_dk/enterprise/resources/	Android/Android/www.android.com/intl/da_dk/enterprise/resources/index.html	(from https://www.android.com/intl/da_dk/)
17:53:21	256/256	---M--	302	error ('Found')	text/html	date:Tue,%2028%20May%202024%2021:53:21%20GMT	https://www.android.com/intl/de_be/updates/	Android/Android/www.android.com/intl/de_be/updates/index.html	(from https://www.android.com/intl/de_be/)
17:53:21	72141/72141	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Mar%202024%2007:08:00%20GMT	https://www.android.com/intl/da_dk/gms/	Android/Android/www.android.com/intl/da_dk/gms/index.html	(from https://www.android.com/intl/da_dk/)
17:53:22	2649/2649	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:53:21%20GMT	https://www.android.com/intl/en_ca/=w180	Android/Android/www.android.com/intl/en_ca/=w180.35.delayed	(from https://www.android.com/intl/en_ca/)
17:53:34	378225/378225	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2000:38:00%20GMT	https://www.android.com/intl/de_be/enterprise/	Android/Android/www.android.com/intl/de_be/enterprise/index.html	(from https://www.android.com/intl/de_be/)
17:54:16	490438/490438	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2015:58:00%20GMT	https://www.android.com/intl/de_be/auto/	Android/Android/www.android.com/intl/de_be/auto/index.html	(from https://www.android.com/intl/de_be/)
17:54:35	829796/829796	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/de_be/android-14/	Android/Android/www.android.com/intl/de_be/android-14/index.html	(from https://www.android.com/intl/de_be/)
17:54:35	264230/264230	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20May%202024%2021:48:00%20GMT	https://www.android.com/intl/de_be/better-together/quick-share-app/	Android/Android/www.android.com/intl/de_be/better-together/quick-share-app/index.html	(from https://www.android.com/intl/de_be/)
17:54:36	747753/747753	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/de_be/accessibility/	Android/Android/www.android.com/intl/de_be/accessibility/index.html	(from https://www.android.com/intl/de_be/)
17:54:36	726176/726176	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/de_be/safety/	Android/Android/www.android.com/intl/de_be/safety/index.html	(from https://www.android.com/intl/de_be/)
17:54:37	2649/2649	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:54:37%20GMT	https://www.android.com/intl/en_hk/=w16	Android/Android/www.android.com/intl/en_hk/=w16.36.delayed	(from https://www.android.com/intl/en_hk/)
17:55:37	458998/458998	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2000:38:00%20GMT	https://www.android.com/intl/de_be/phones-tablets/	Android/Android/www.android.com/intl/de_be/phones-tablets/index.html	(from https://www.android.com/intl/de_be/)
17:55:39	1671736/1671736	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/de_be/phones/	Android/Android/www.android.com/intl/de_be/phones/index.html	(from https://www.android.com/intl/de_be/)
17:55:39	903435/903435	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/de_be/switch-to-android/	Android/Android/www.android.com/intl/de_be/switch-to-android/index.html	(from https://www.android.com/intl/de_be/)
17:55:39	893645/893645	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/de_be/why-android/	Android/Android/www.android.com/intl/de_be/why-android/index.html	(from https://www.android.com/intl/de_be/)
17:55:40	2649/2649	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:55:39%20GMT	https://www.android.com/intl/en_hk/=w32	Android/Android/www.android.com/intl/en_hk/=w32.37.delayed	(from https://www.android.com/intl/en_hk/)
17:55:41	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20May%202024%2021:55:40%20GMT	https://www.android.com/intl/de_be/why-switch-to-android/	Android/Android/www.android.com/intl/de_be/why-switch-to-android/index.html	(from https://www.android.com/intl/de_be/)
17:55:41	520166/520166	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/de_be/build-android-bot/	Android/Android/www.android.com/intl/de_be/build-android-bot/index.html	(from https://www.android.com/intl/de_be/)
17:55:43	1031347/1031347	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/de_be/better-together/	Android/Android/www.android.com/intl/de_be/better-together/index.html	(from https://www.android.com/intl/de_be/)
17:55:43	2649/2649	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:55:43%20GMT	https://www.android.com/intl/en_hk/=w180	Android/Android/www.android.com/intl/en_hk/=w180.38.delayed	(from https://www.android.com/intl/en_hk/)
